,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,
2814,Head on,Sideswipe,,,,,,,,,,,,,,,,,,,,,,,,
2815,Head on,Sideswipe,,,,,,,,,,,,,,,,,,,,,,,,
2816,Head on,Sideswipe,,,,,,,,,,,,,,,,,,,,,,,,
2817,All,,,,,,,,,,,,,,,,,,,,,,,,,
2818,All,,,,,,,,,,,,,,,,,,,,,,,,,
2819,All,,,,,,,,,,,,,,,,,,,,,,,,,
2820,All,,,,,,,,,,,,,,,,,,,,,,,,,
2821,All,,,,,,,,,,,,,,,,,,,,,,,,,
2822,All,,,,,,,,,,,,,,,,,,,,,,,,,
2823,All,,,,,,,,,,,,,,,,,,,,,,,,,
2824,All,,,,,,,,,,,,,,,,,,,,,,,,,
2825,Head on,Sideswipe,,,,,,,,,,,,,,,,,,,,,,,,
2826,Head on,Sideswipe,,,,,,,,,,,,,,,,,,,,,,,,
2827,Head on,Sideswipe,,,,,,,,,,,,,,,,,,,,,,,,
2828,Head on,Sideswipe,,,,,,,,,,,,,,,,,,,,,,,,
2829,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2830,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2831,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2832,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2833,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2834,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2835,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2836,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2837,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2838,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2839,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2840,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2841,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2842,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2843,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2844,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2845,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2846,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2847,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2848,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2849,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2850,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2851,All,,,,,,,,,,,,,,,,,,,,,,,,,
2852,All,,,,,,,,,,,,,,,,,,,,,,,,,
2853,All,,,,,,,,,,,,,,,,,,,,,,,,,
2854,All,,,,,,,,,,,,,,,,,,,,,,,,,
2855,All,,,,,,,,,,,,,,,,,,,,,,,,,
2856,All,,,,,,,,,,,,,,,,,,,,,,,,,
2857,All,,,,,,,,,,,,,,,,,,,,,,,,,
2858,All,,,,,,,,,,,,,,,,,,,,,,,,,
2859,All,,,,,,,,,,,,,,,,,,,,,,,,,
2860,All,,,,,,,,,,,,,,,,,,,,,,,,,
2861,All,,,,,,,,,,,,,,,,,,,,,,,,,
2862,All,,,,,,,,,,,,,,,,,,,,,,,,,
2863,All,,,,,,,,,,,,,,,,,,,,,,,,,
2864,All,,,,,,,,,,,,,,,,,,,,,,,,,
2865,All,,,,,,,,,,,,,,,,,,,,,,,,,
2866,All,,,,,,,,,,,,,,,,,,,,,,,,,
2867,All,,,,,,,,,,,,,,,,,,,,,,,,,
2868,All,,,,,,,,,,,,,,,,,,,,,,,,,
2869,All,,,,,,,,,,,,,,,,,,,,,,,,,
2870,All,,,,,,,,,,,,,,,,,,,,,,,,,
2871,All,,,,,,,,,,,,,,,,,,,,,,,,,
2872,All,,,,,,,,,,,,,,,,,,,,,,,,,
2873,All,,,,,,,,,,,,,,,,,,,,,,,,,
2874,All,,,,,,,,,,,,,,,,,,,,,,,,,
2875,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2876,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2877,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2878,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2879,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2880,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2881,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2882,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2883,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2884,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2885,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2886,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2887,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2888,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2889,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2890,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2891,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2892,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2893,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2894,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2895,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2896,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2897,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2898,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2899,All,,,,,,,,,,,,,,,,,,,,,,,,,
2900,All,,,,,,,,,,,,,,,,,,,,,,,,,
2901,All,,,,,,,,,,,,,,,,,,,,,,,,,
2902,All,,,,,,,,,,,,,,,,,,,,,,,,,
2903,All,,,,,,,,,,,,,,,,,,,,,,,,,
2904,All,,,,,,,,,,,,,,,,,,,,,,,,,
2905,All,,,,,,,,,,,,,,,,,,,,,,,,,
2906,All,,,,,,,,,,,,,,,,,,,,,,,,,
2907,All,,,,,,,,,,,,,,,,,,,,,,,,,
2908,All,,,,,,,,,,,,,,,,,,,,,,,,,
2909,All,,,,,,,,,,,,,,,,,,,,,,,,,
2910,All,,,,,,,,,,,,,,,,,,,,,,,,,
2911,All,,,,,,,,,,,,,,,,,,,,,,,,,
2912,All,,,,,,,,,,,,,,,,,,,,,,,,,
2913,All,,,,,,,,,,,,,,,,,,,,,,,,,
2914,All,,,,,,,,,,,,,,,,,,,,,,,,,
2915,All,,,,,,,,,,,,,,,,,,,,,,,,,
2916,All,,,,,,,,,,,,,,,,,,,,,,,,,
2917,All,,,,,,,,,,,,,,,,,,,,,,,,,
2918,All,,,,,,,,,,,,,,,,,,,,,,,,,
2919,All,,,,,,,,,,,,,,,,,,,,,,,,,
2920,All,,,,,,,,,,,,,,,,,,,,,,,,,
2921,All,,,,,,,,,,,,,,,,,,,,,,,,,
2922,All,,,,,,,,,,,,,,,,,,,,,,,,,
2923,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2924,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2925,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2926,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2927,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2928,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2929,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2930,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2931,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2932,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2933,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2934,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2935,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2936,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2937,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2938,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2939,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2940,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2941,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2942,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2943,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2944,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2945,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2946,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2947,All,,,,,,,,,,,,,,,,,,,,,,,,,
2948,All,,,,,,,,,,,,,,,,,,,,,,,,,
2949,All,,,,,,,,,,,,,,,,,,,,,,,,,
2950,All,,,,,,,,,,,,,,,,,,,,,,,,,
2951,All,,,,,,,,,,,,,,,,,,,,,,,,,
2952,All,,,,,,,,,,,,,,,,,,,,,,,,,
2953,All,,,,,,,,,,,,,,,,,,,,,,,,,
2954,All,,,,,,,,,,,,,,,,,,,,,,,,,
2955,All,,,,,,,,,,,,,,,,,,,,,,,,,
2956,All,,,,,,,,,,,,,,,,,,,,,,,,,
2957,All,,,,,,,,,,,,,,,,,,,,,,,,,
2958,All,,,,,,,,,,,,,,,,,,,,,,,,,
2959,All,,,,,,,,,,,,,,,,,,,,,,,,,
2960,All,,,,,,,,,,,,,,,,,,,,,,,,,
2961,All,,,,,,,,,,,,,,,,,,,,,,,,,
2962,All,,,,,,,,,,,,,,,,,,,,,,,,,
2963,All,,,,,,,,,,,,,,,,,,,,,,,,,
2964,All,,,,,,,,,,,,,,,,,,,,,,,,,
2965,All,,,,,,,,,,,,,,,,,,,,,,,,,
2966,All,,,,,,,,,,,,,,,,,,,,,,,,,
2967,All,,,,,,,,,,,,,,,,,,,,,,,,,
2968,All,,,,,,,,,,,,,,,,,,,,,,,,,
2969,All,,,,,,,,,,,,,,,,,,,,,,,,,
2970,All,,,,,,,,,,,,,,,,,,,,,,,,,
2971,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2972,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2973,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2974,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2975,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2976,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2977,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2978,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2979,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2980,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2981,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2982,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2983,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2984,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2985,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2986,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2987,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2988,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2989,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2990,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2991,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2992,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2993,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2994,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2995,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2996,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2997,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2998,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
2999,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3000,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3001,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3002,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3003,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3004,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3005,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3006,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3007,Run off road,Truck related,,,,,,,,,,,,,,,,,,,,,,,,
3008,Run off road,Truck related,,,,,,,,,,,,,,,,,,,,,,,,
3009,Run off road,Truck related,,,,,,,,,,,,,,,,,,,,,,,,
3010,Run off road,Truck related,,,,,,,,,,,,,,,,,,,,,,,,
3011,Run off road,Truck related,,,,,,,,,,,,,,,,,,,,,,,,
3012,Run off road,Truck related,,,,,,,,,,,,,,,,,,,,,,,,
3013,Run off road,Truck related,,,,,,,,,,,,,,,,,,,,,,,,
3014,Run off road,Truck related,,,,,,,,,,,,,,,,,,,,,,,,
3015,Run off road,Truck related,,,,,,,,,,,,,,,,,,,,,,,,
3016,Run off road,Truck related,,,,,,,,,,,,,,,,,,,,,,,,
3017,Run off road,Truck related,,,,,,,,,,,,,,,,,,,,,,,,
3018,Run off road,Truck related,,,,,,,,,,,,,,,,,,,,,,,,
3019,Run off road,Truck related,,,,,,,,,,,,,,,,,,,,,,,,
3020,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3021,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3022,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3023,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3024,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3025,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3026,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3027,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3028,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3029,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3030,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3031,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3032,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3033,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3034,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3035,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3036,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3037,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3038,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3039,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3040,Run off road,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
3041,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3042,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3043,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3044,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3045,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3046,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3047,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3048,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3049,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3050,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3051,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3052,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3053,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3054,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3055,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3056,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3057,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3058,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3059,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3060,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3061,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3062,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3063,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3064,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3065,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3066,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3067,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3068,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3069,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3070,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3071,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3072,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3073,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3074,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3075,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3076,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3077,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3078,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3079,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3080,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3081,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3082,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3083,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3084,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3085,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3086,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3087,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3088,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3089,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3090,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3091,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3092,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3093,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3094,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3095,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3096,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3097,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3098,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3099,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3100,All,,,,,,,,,,,,,,,,,,,,,,,,,
3101,All,,,,,,,,,,,,,,,,,,,,,,,,,
3102,All,,,,,,,,,,,,,,,,,,,,,,,,,
3103,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
3104,Left turn,,,,,,,,,,,,,,,,,,,,,,,,,
3105,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,
3106,All,,,,,,,,,,,,,,,,,,,,,,,,,
3107,All,,,,,,,,,,,,,,,,,,,,,,,,,
3108,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3109,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3110,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3111,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3112,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3113,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3114,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3115,All,,,,,,,,,,,,,,,,,,,,,,,,,
3116,All,,,,,,,,,,,,,,,,,,,,,,,,,
3117,All,,,,,,,,,,,,,,,,,,,,,,,,,
3118,Vehicle/pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,
3119,Vehicle/pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,
3120,Vehicle/pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,
3121,Angle,Cross median,Day time,Dry weather,Fixed object,Head on,Left turn,Nighttime,Parking related,Rear end,Rear to rear,Right turn,Run off road,Sideswipe,Single vehicle,Speed related,Truck related,Vehicle/bicycle,Wet road,,,,,,,
3122,All,,,,,,,,,,,,,,,,,,,,,,,,,
3123,All,,,,,,,,,,,,,,,,,,,,,,,,,
3124,Single vehicle,,,,,,,,,,,,,,,,,,,,,,,,,
3125,Angle,Rear end,Sideswipe,,,,,,,,,,,,,,,,,,,,,,,
3126,All,,,,,,,,,,,,,,,,,,,,,,,,,
3127,All,,,,,,,,,,,,,,,,,,,,,,,,,
3128,Non-intersection,,,,,,,,,,,,,,,,,,,,,,,,,
3129,All,,,,,,,,,,,,,,,,,,,,,,,,,
3130,Fixed object,,,,,,,,,,,,,,,,,,,,,,,,,
3131,Head on,,,,,,,,,,,,,,,,,,,,,,,,,
3132,Parking related,,,,,,,,,,,,,,,,,,,,,,,,,
3133,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
3134,Truck related,,,,,,,,,,,,,,,,,,,,,,,,,
3135,Angle,Cross median,Fixed object,Head on,Left turn,Non-intersection,Parking related,Rear end,Rear to rear,Right turn,Run off road,Sideswipe,Single vehicle,Truck related,,,,,,,,,,,,
3136,All,,,,,,,,,,,,,,,,,,,,,,,,,
3137,All,,,,,,,,,,,,,,,,,,,,,,,,,
3138,All,,,,,,,,,,,,,,,,,,,,,,,,,
3139,All,,,,,,,,,,,,,,,,,,,,,,,,,
3140,Angle,Cross median,Fixed object,Head on,Left turn,Non-intersection,Parking related,Rear end,Rear to rear,Right turn,Run off road,Sideswipe,Single vehicle,Truck related,,,,,,,,,,,,
3141,Angle,Cross median,Head on,Left turn,Rear end,Rear to rear,Right turn,Sideswipe,,,,,,,,,,,,,,,,,,
3142,All,,,,,,,,,,,,,,,,,,,,,,,,,
3143,Angle,Cross median,Head on,Left turn,Rear end,Rear to rear,Right turn,Sideswipe,,,,,,,,,,,,,,,,,,
3144,All,,,,,,,,,,,,,,,,,,,,,,,,,
3145,Fixed object,,,,,,,,,,,,,,,,,,,,,,,,,
3146,All,,,,,,,,,,,,,,,,,,,,,,,,,
3147,Fixed object,,,,,,,,,,,,,,,,,,,,,,,,,
3148,All,,,,,,,,,,,,,,,,,,,,,,,,,
3149,All,,,,,,,,,,,,,,,,,,,,,,,,,
3150,Parking related,,,,,,,,,,,,,,,,,,,,,,,,,
3151,All,,,,,,,,,,,,,,,,,,,,,,,,,
3152,Parking related,,,,,,,,,,,,,,,,,,,,,,,,,
3153,Vehicle/pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,
3154,Vehicle/pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,
3155,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3156,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3157,All,,,,,,,,,,,,,,,,,,,,,,,,,
3158,Head on,,,,,,,,,,,,,,,,,,,,,,,,,
3159,Angle,Head on,Left turn,,,,,,,,,,,,,,,,,,,,,,,
3160,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
3161,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
3162,All,,,,,,,,,,,,,,,,,,,,,,,,,
3163,All,,,,,,,,,,,,,,,,,,,,,,,,,
3164,All,,,,,,,,,,,,,,,,,,,,,,,,,
3165,Head on,,,,,,,,,,,,,,,,,,,,,,,,,
3166,Head on,Left turn,,,,,,,,,,,,,,,,,,,,,,,,
3167,Angle,Head on,Left turn,,,,,,,,,,,,,,,,,,,,,,,
3168,All,,,,,,,,,,,,,,,,,,,,,,,,,
3169,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
3170,All,,,,,,,,,,,,,,,,,,,,,,,,,
3171,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3172,Angle,Head on,Sideswipe,,,,,,,,,,,,,,,,,,,,,,,
3173,Angle,Head on,Sideswipe,,,,,,,,,,,,,,,,,,,,,,,
3174,Vehicle/pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,
3175,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3176,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3177,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3178,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3179,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3180,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3181,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3182,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3183,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3184,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3185,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3186,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3187,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3188,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3189,All,,,,,,,,,,,,,,,,,,,,,,,,,
3190,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3191,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3192,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3193,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
3194,All,,,,,,,,,,,,,,,,,,,,,,,,,
3195,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
3196,All,,,,,,,,,,,,,,,,,,,,,,,,,
3197,All,,,,,,,,,,,,,,,,,,,,,,,,,
3198,Head on,Run off road,Sideswipe,,,,,,,,,,,,,,,,,,,,,,,
3199,All,,,,,,,,,,,,,,,,,,,,,,,,,
3200,All,,,,,,,,,,,,,,,,,,,,,,,,,
3201,Head on,Run off road,Sideswipe,,,,,,,,,,,,,,,,,,,,,,,
3202,All,,,,,,,,,,,,,,,,,,,,,,,,,
3203,Non-intersection,,,,,,,,,,,,,,,,,,,,,,,,,
3204,All,,,,,,,,,,,,,,,,,,,,,,,,,
3205,All,,,,,,,,,,,,,,,,,,,,,,,,,
3206,All,,,,,,,,,,,,,,,,,,,,,,,,,
3207,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
3208,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
3209,Wet road,,,,,,,,,,,,,,,,,,,,,,,,,
3210,Wet road,,,,,,,,,,,,,,,,,,,,,,,,,
3211,All,,,,,,,,,,,,,,,,,,,,,,,,,
3212,All,,,,,,,,,,,,,,,,,,,,,,,,,
3213,All,,,,,,,,,,,,,,,,,,,,,,,,,
3214,All,,,,,,,,,,,,,,,,,,,,,,,,,
3215,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3216,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3217,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3218,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3219,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3220,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3221,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3222,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3223,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3224,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
3225,All,,,,,,,,,,,,,,,,,,,,,,,,,
