,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,
90,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
91,All,,,,,,,,,,,,,,,,,,,,,,,,,
92,Wet road,,,,,,,,,,,,,,,,,,,,,,,,,
93,Nighttime,,,,,,,,,,,,,,,,,,,,,,,,,
94,All,,,,,,,,,,,,,,,,,,,,,,,,,
95,Wet road,,,,,,,,,,,,,,,,,,,,,,,,,
96,Nighttime,,,,,,,,,,,,,,,,,,,,,,,,,
97,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
98,All,,,,,,,,,,,,,,,,,,,,,,,,,
99,All,,,,,,,,,,,,,,,,,,,,,,,,,
100,All,,,,,,,,,,,,,,,,,,,,,,,,,
101,All,,,,,,,,,,,,,,,,,,,,,,,,,
102,Nighttime,,,,,,,,,,,,,,,,,,,,,,,,,
103,Nighttime,,,,,,,,,,,,,,,,,,,,,,,,,
104,Nighttime,,,,,,,,,,,,,,,,,,,,,,,,,
105,Nighttime,,,,,,,,,,,,,,,,,,,,,,,,,
106,Nighttime,,,,,,,,,,,,,,,,,,,,,,,,,
107,Nighttime,,,,,,,,,,,,,,,,,,,,,,,,,
108,Nighttime,,,,,,,,,,,,,,,,,,,,,,,,,
109,Nighttime,,,,,,,,,,,,,,,,,,,,,,,,,
110,Nighttime,,,,,,,,,,,,,,,,,,,,,,,,,
111,All,,,,,,,,,,,,,,,,,,,,,,,,,
112,Run off road,Single vehicle,,,,,,,,,,,,,,,,,,,,,,,,
113,Run off road,Single vehicle,,,,,,,,,,,,,,,,,,,,,,,,
114,All,,,,,,,,,,,,,,,,,,,,,,,,,
115,All,,,,,,,,,,,,,,,,,,,,,,,,,
116,Run off road,Single vehicle,,,,,,,,,,,,,,,,,,,,,,,,
117,Run off road,Single vehicle,,,,,,,,,,,,,,,,,,,,,,,,
118,Run off road,Single vehicle,,,,,,,,,,,,,,,,,,,,,,,,
119,Run off road,Single vehicle,,,,,,,,,,,,,,,,,,,,,,,,
120,Run off road,Single vehicle,,,,,,,,,,,,,,,,,,,,,,,,
121,All,,,,,,,,,,,,,,,,,,,,,,,,,
122,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
123,All,,,,,,,,,,,,,,,,,,,,,,,,,
124,All,,,,,,,,,,,,,,,,,,,,,,,,,
125,Head on,Sideswipe,,,,,,,,,,,,,,,,,,,,,,,,
126,Head on,Sideswipe,,,,,,,,,,,,,,,,,,,,,,,,
127,All,,,,,,,,,,,,,,,,,,,,,,,,,
128,All,,,,,,,,,,,,,,,,,,,,,,,,,
129,All,,,,,,,,,,,,,,,,,,,,,,,,,
130,All,,,,,,,,,,,,,,,,,,,,,,,,,
131,All,,,,,,,,,,,,,,,,,,,,,,,,,
132,All,,,,,,,,,,,,,,,,,,,,,,,,,
133,All,,,,,,,,,,,,,,,,,,,,,,,,,
134,All,,,,,,,,,,,,,,,,,,,,,,,,,
135,Vehicle/pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,
136,All,,,,,,,,,,,,,,,,,,,,,,,,,
137,All,,,,,,,,,,,,,,,,,,,,,,,,,
138,All,,,,,,,,,,,,,,,,,,,,,,,,,
139,All,,,,,,,,,,,,,,,,,,,,,,,,,
140,All,,,,,,,,,,,,,,,,,,,,,,,,,
141,All,,,,,,,,,,,,,,,,,,,,,,,,,
142,All,,,,,,,,,,,,,,,,,,,,,,,,,
143,All,,,,,,,,,,,,,,,,,,,,,,,,,
144,All,,,,,,,,,,,,,,,,,,,,,,,,,
145,All,,,,,,,,,,,,,,,,,,,,,,,,,
146,All,,,,,,,,,,,,,,,,,,,,,,,,,
147,All,,,,,,,,,,,,,,,,,,,,,,,,,
